     setSize,    subjects,    duration,  meanofHits
          -1,    89910760,     27.9723,    500.0000
           2,     5176885,     29.7042,    500.0000
           3,     2564063,     98.6109,    500.0000
           4,     2682449,    132.8032,    500.0000
           5,     2706072,     83.8162,    500.0000
           6,     4368399,     61.1337,    500.0000
           7,     6074337,     42.8010,    500.0000
           8,     5987032,     39.2603,    500.0000
           9,     6782760,     28.4589,    500.0000
          10,    10673438,     16.2895,    500.0000
          11,    10763711,      9.8910,    500.0000
          12,     9866086,      6.9275,    500.0000
          13,     8271045,      5.4625,    500.0000
          14,     4911732,      6.4940,    500.0000
          15,     3322321,      6.9015,    500.0000
          16,     1859327,      9.4434,    500.0000
          17,     1030467,     13.2428,    500.0000
          18,      549500,     20.2466,    500.0000
          19,      363709,     25.3822,    500.0000
          20,      266839,     29.3666,    500.0000
          21,      214453,     32.0483,    500.0000
          22,      179091,     32.6107,    500.0000
          23,      158736,     32.4140,    500.0000
          24,      150016,     31.2283,    500.0000
          25,      111277,     37.0674,    500.0000
          26,       95868,     37.9762,    500.0000
          27,       85939,     38.7986,    500.0000
          28,       77582,     39.4472,    500.0000
          29,       68532,     38.4771,    500.0000
          30,       60503,     39.4743,    500.0000
          31,       52800,     39.9025,    500.0000
          32,       46352,     40.5588,    500.0000
          33,       40288,     39.0219,    500.0000
          34,       35300,     41.0308,    500.0000
          35,       30800,     41.2518,    500.0000
          36,       27078,     40.8482,    500.0000
          37,       23415,     40.4439,    500.0000
          38,       21078,     42.3902,    500.0000
          39,       18905,     43.1973,    500.0000
          40,       16374,     39.9841,    500.0000
          41,       14484,     42.4117,    500.0000
          42,       13240,     41.4644,    500.0000
          43,       11844,     42.9476,    500.0000
          44,       10415,     41.1100,    500.0000
          45,        9309,     42.4523,    500.0000
          46,        8492,     44.5119,    500.0000
          47,        7698,     42.3117,    500.0000
          48,        6900,     43.7032,    500.0000
          49,        6297,     44.3595,    500.0000
          50,        5743,     43.0387,    500.0000
          51,        5213,     43.6213,    500.0000
          52,        4819,     44.6357,    500.0000
          53,        4488,     45.6358,    500.0000
          54,        4197,     41.3531,    500.0000
          55,        3788,     45.3715,    500.0000
